time,snapshot_index,reverse_surface_sample_count,reverse_unique_surface_patch_count,reverse_valid_flux_sample_count,reverse_valid_flux_fraction,reverse_surface_area,reverse_flux_covered_surface_area,reverse_surface_area_vs_sphere,reverse_mean_thermal_energy_flux,reverse_dissipation_rate,forward_surface_sample_count,forward_unique_surface_patch_count,forward_valid_flux_sample_count,forward_valid_flux_fraction,forward_surface_area,forward_flux_covered_surface_area,forward_surface_area_vs_sphere,forward_mean_thermal_energy_flux,forward_dissipation_rate,reverse_integration_interval_valid,reverse_cumulative_dissipated_energy,forward_integration_interval_valid,forward_cumulative_dissipated_energy,combined_cumulative_dissipated_energy,injected_wind_energy,combined_dissipation_to_injected_energy
0.0,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,False,nan,False,nan,nan,0.0,nan
0.010171858593821526,1,0,0,0,nan,nan,nan,nan,nan,nan,4160,3552,3552,1.0,0.06501762364414168,0.06501762364414168,1.0898553444855261,0.26644263149750047,0.017323466737459214,False,nan,False,0.0,0.0,0.005085929296910763,0.0
0.020101279020309448,2,0,0,0,nan,nan,nan,nan,nan,nan,6272,4688,4688,1.0,0.08861562411525215,0.08861562411525215,1.05517131415642,0.6687877705741281,0.059265045690074424,False,nan,True,0.00038023976986613833,0.00038023976986613833,0.010050639510154724,0.03783239558855541
0.03005487285554409,3,0,0,0,nan,nan,nan,nan,nan,nan,8744,6464,6464,1.0,0.12326162567820248,0.12326162567820248,1.0503971233921534,0.8596675773212613,0.1059640231234605,False,nan,True,0.0012025512902381192,0.0012025512902381192,0.015027436427772045,0.08002371502405407
0.040019210427999496,4,0,0,0,nan,nan,nan,nan,nan,nan,11336,8648,8648,1.0,0.16597974743396793,0.16597974743396793,1.0532634294172374,0.8456307213887768,0.14035757355851328,False,nan,True,0.0024297670606008184,0.0024297670606008184,0.020009605213999748,0.12143003495645324
0.05005556344985962,5,0,0,0,nan,nan,nan,nan,nan,nan,14744,11160,11160,1.0,0.21511830156186615,0.21511830156186615,1.0557042864883492,0.7225535548626544,0.1554344935095429,False,nan,True,0.003914103863681188,0.003914103863681188,0.02502778172492981,0.15639036278562418
0.06000927463173866,6,0,0,0,nan,nan,nan,nan,nan,nan,18192,13752,13752,1.0,0.26517774334504274,0.26517774334504274,1.0484057265247608,0.5742020560845316,0.15226560545657974,False,nan,True,0.005445482821553379,0.005445482821553379,0.03000463731586933,0.18148804013949155
0.0700024738907814,7,936,936,936,1.0,0.015200677827848012,0.015200677827848012,0.25111818014828496,0.07188236755120402,0.0010926607106488083,21912,16536,16536,1.0,0.31876324576213033,0.31876324576213033,1.0492506843858673,0.4824228869496395,0.15377868527400435,False,0.0,True,0.006974663611234945,0.006974663611234945,0.0350012369453907,0.19926906075110684
0.0800410658121109,8,4712,3648,3648,1.0,0.06995030451477341,0.06995030451477341,1.0655603491777876,0.13998927171661738,0.009792292185378741,26456,19440,19440,1.0,0.37458003349009394,0.37458003349009394,1.0509128652887325,0.4261823055101005,0.1596393822708589,True,5.463480010305714e-05,True,0.008547801651662228,0.008602436451765285,0.04002053290605545,0.2149505722964439
0.09002704918384552,9,5120,3992,3992,1.0,0.07735786746516034,0.07735786746516034,1.0747088631897175,0.22611297119039225,0.01749161725749998,30128,22392,22392,1.0,0.43199110825703774,0.43199110825703774,1.0524258747295012,0.37792007206646544,0.16325811076457197,True,0.00019086313310930715,True,0.010160026149775531,0.010350889282884839,0.04501352459192276,0.2299506509815098
0.10002218931913376,10,5936,4368,4368,1.0,0.08486863791293339,0.08486863791293339,1.0737367827419213,0.30189489610331177,0.025621408625154614,34352,25472,25472,1.0,0.4915489731698664,0.4915489731698664,1.0539221247720512,0.3346773598996643,0.16451031260188181,True,0.0004063235007860279,True,0.011798071811510626,0.012204395312296654,0.05001109465956688,0.2440337568168389
0.11003023386001587,11,6440,4784,4784,1.0,0.09348691101212311,0.09348691101212311,1.0771569888608141,0.3780792523532684,0.03534546142028004,37896,28584,28584,1.0,0.5518435048204134,0.5518435048204134,1.0537244895657294,0.29738555921867244,0.1641102892822108,True,0.0007114030762524686,True,0.013442496621864369,0.014153899698116838,0.055015116930007935,0.2572729185711611
0.12001008540391922,12,6896,5184,5184,1.0,0.10128840118338144,0.10128840118338144,1.0745569003269877,0.4393066608826769,0.04449666931001628,42752,31752,31752,1.0,0.6127279885753817,0.6127279885753817,1.0528990286785975,0.2678904939931645,0.16414400354289704,True,0.0011098093820711091,True,0.015080461177386147,0.016190270559457258,0.06000504270195961,0.2698151660331795
0.13003070652484894,13,7376,5600,5600,1.0,0.10986773132823169,0.10986773132823169,1.0803426943551802,0.4719252695617634,0.05184935872321514,46736,34952,34952,1.0,0.6740233171519452,0.6740233171519452,1.050592118092131,0.24236164832023852,0.16335740215122033,True,0.0015925329037848519,True,0.016721344928902468,0.01831387783268732,0.06501535326242447,0.281685431420578
