run_label,source_csv,time,max_abs_magnetic_divergence,mean_magnetic_energy_density,pressure_weighted_extent_parallel_to_field,pressure_weighted_extent_perpendicular_to_field,pressure_weighted_axis_aspect_ratio
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.0,0.0,9.999999747378752e-05,0.0,0.0,nan
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.01072822418063879,1.0960502550005913e-07,0.00010000115435104817,0.026189513534262132,0.026189511026709033,1.000000095746465
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.020468533039093018,2.1606683731079102e-07,0.00010002573253586888,0.031181303363171643,0.031181230334517973,1.0000023420709474
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.030161704868078232,3.501772880554199e-07,0.00010013314749812707,0.0388255510779673,0.038825170298719854,1.0000098075357948
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.040342699736356735,4.76837158203125e-07,0.00010035224113380536,0.0466071182618298,0.04660633978812279,1.0000167031719407
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.05000247433781624,7.450580596923828e-07,0.00010065049718832597,0.05327041386986641,0.053269021332571234,1.0000261415971299
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.0602475069463253,6.556510925292969e-07,0.00010106971603818238,0.05974667191269258,0.05974438366118007,1.000038300696606
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.07019698619842529,7.748603820800781e-07,0.00010157514770980924,0.0655478343789388,0.06554474909997975,1.0000470713367802
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.08017285168170929,1.339241862297058e-06,0.00010218560055363923,0.07104396594708874,0.07103994244390738,1.0000566371965256
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.09016647934913635,1.2442469596862793e-06,0.00010290516365785152,0.07630874055979169,0.076303628799631,1.00006699235988
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.10007032006978989,1.2218952178955078e-06,0.00010369432129664347,0.08132229980486064,0.08131601135920799,1.000077333424839
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.11017363518476486,1.1920928955078125e-06,0.00010455724986968562,0.08624742452601764,0.08623991503121778,1.000087076788018
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.12006233632564545,1.7136335372924805e-06,0.00010547679266892374,0.09090955875672792,0.09090076626053341,1.000096726315478
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.13007862865924835,1.9371509552001953e-06,0.00010655697406036779,0.09548928593390892,0.09547917155740798,1.0001059328054063
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.1401628702878952,1.9669532775878906e-06,0.00010777034185593948,0.09996563851933422,0.09995413254676266,1.000115112524899
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.15009525418281555,1.8477439880371094e-06,0.0001089390498236753,0.1042537561384677,0.10424091049817664,1.0001232303155225
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.16005617380142212,2.175569534301758e-06,0.00011047881707781926,0.10844269663113856,0.10842840680878761,1.0001317903930484
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.17006812989711761,2.1457672119140625e-06,0.00011186760093551129,0.11254968152991947,0.11253391425456459,1.0001401113207455
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.1800597459077835,2.4139881134033203e-06,0.00011341099889250472,0.11655668254395105,0.11653923098069044,1.0001497483990047
beta100,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.20000000298023224,2.5331974029541016e-06,0.00011681211617542431,0.1242984424395022,0.1242776109551188,1.0001676205731933
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.0,0.0,0.009999999776482582,0.0,0.0,nan
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.010728311724960804,1.5273690223693848e-06,0.01000011432915926,0.02618952162596557,0.02618917368148467,1.0000132858136395
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.020469769835472107,3.337860107421875e-06,0.010002562776207924,0.031181239586521216,0.03117399809648442,1.0002322926310057
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.03016737848520279,3.874301910400391e-06,0.010013241320848465,0.03882594461180928,0.03878784195269303,1.0009823351132223
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.04000238701701164,5.0067901611328125e-06,0.010033995844423771,0.04636042058790272,0.04628431936932338,1.0016442116815436
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.050033438950777054,5.7220458984375e-06,0.010064175352454185,0.05328876415680947,0.053150087557932574,1.0026091509016941
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.060037508606910706,7.62939453125e-06,0.010103716515004635,0.05962491239353148,0.05939953210578549,1.0037943108262974
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.07005701959133148,1.0609626770019531e-05,0.010152273811399937,0.06548911189918072,0.06517984448456621,1.0047448320421775
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.08011665940284729,1.049041748046875e-05,0.010210059583187103,0.07104803660243812,0.07064267320324925,1.0057382228164353
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.09017997235059738,1.049041748046875e-05,0.01027629990130663,0.07636319754835812,0.07584464229607271,1.0068370716320494
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.10014156252145767,1.0967254638671875e-05,0.010347149334847927,0.08141835847633054,0.0807753778709808,1.007960106437097
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.11010615527629852,1.3947486877441406e-05,0.010422325693070889,0.08628898849748634,0.08552088281733393,1.0089814984930994
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.12001132220029831,1.5974044799804688e-05,0.01050335168838501,0.09096845662138571,0.09007532436053002,1.0099153932244629
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.13001766800880432,1.9311904907226562e-05,0.010597437620162964,0.09555327428180879,0.09452670454545412,1.0108601028808852
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.14015869796276093,1.9073486328125e-05,0.010699965059757233,0.10006572963869798,0.09889523075869519,1.0118357464866916
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.15016935765743256,1.8835067749023438e-05,0.010798249393701553,0.10439019963058724,0.10307351473392883,1.0127742310918306
beta1,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.16016410291194916,1.8596649169921875e-05,0.010916468687355518,0.10861221401008321,0.1071449505466909,1.0136941914285817
