resolution,snapshot_count,final_time,reverse_classification,reverse_profile_jump_mach,reverse_valid_flux_fraction,forward_valid_flux_fraction,reverse_surface_area_vs_sphere,forward_surface_area_vs_sphere,reverse_mean_thermal_energy_flux,forward_mean_thermal_energy_flux,reverse_dissipation_rate,forward_dissipation_rate,reverse_cumulative_dissipated_energy,forward_cumulative_dissipated_energy,combined_cumulative_dissipated_energy,injected_wind_energy,combined_dissipation_to_injected_energy,relative_change_from_previous_resolution
64,20,0.20000000298023224,consistent_with_reverse_shock,1.6456194445043404,1.0,1.0,1.1283374508029804,1.0701204219846951,0.1409658580500476,0.09210968294666523,0.0199065488704717,0.09437214842755028,0.0008108959319316658,0.015527848377045865,0.01633874430897753,0.10000000149011612,0.1633874406551127,nan
128,20,0.20000000298023224,not_yet_verified_as_reverse_shock,1.2990935654842426,1.0,1.0,1.0872903308900548,1.0533030325957953,0.4458987086662271,0.1272013485988166,0.0688451352479378,0.14154565293315147,0.004263232784926022,0.024002104755786187,0.02826533754071221,0.10000000149011612,0.28265337119525863,0.7299577621262768
256,20,0.20000000298023224,consistent_with_reverse_shock,2.2620292633688313,1.0,1.0,1.0818612896300537,1.0493670572834604,0.5722573283856719,0.14320890734689756,0.09396385613301157,0.16239848762173256,0.006817765316801457,0.0281191074740987,0.03493687279090016,0.10000000149011612,0.34936872270300195,0.23603239269931056
