radius,shell_cell_count,density,pressure,temperature_proxy,radial_velocity,velocity_divergence,radial_flow_mach,surface_mach
0.0078125,8,0.04654809832572937,0.9373419284820557,20.137062072753906,0.842244029045105,206.33941650390625,0.14538364112377167,nan
0.0234375,24,0.04417264461517334,0.8784401416778564,19.886520385742188,1.8043603897094727,229.90133666992188,0.3134148418903351,nan
0.0390625,104,0.03840367868542671,0.7459657192230225,19.347126007080078,3.3149607181549072,304.35406494140625,0.5826140642166138,nan
0.0546875,144,0.020356841385364532,0.27994996309280396,13.749340057373047,6.225240707397461,343.99310302734375,1.3006027936935425,nan
0.0703125,272,0.011713393032550812,0.1110534593462944,9.480895042419434,7.813925743103027,224.16285705566406,1.9395781755447388,nan
0.0859375,360,0.009276768192648888,0.09526202082633972,10.268880844116211,7.655811786651611,-31.623353958129883,1.8505691289901733,1.536257028579712
0.1015625,560,0.015179676935076714,0.29868754744529724,19.676807403564453,3.086803674697876,-75.57178497314453,0.538564920425415,1.7287393808364868
0.1171875,704,0.017040636390447617,0.3449583947658539,20.206466674804688,2.1052322387695312,-7.92932653427124,0.36034175753593445,nan
0.1328125,936,0.01991962641477585,0.36353105306625366,18.425060272216797,1.487297534942627,1.1614608764648438,0.27269354462623596,nan
0.1484375,1112,0.02512994036078453,0.36709389090538025,15.042360305786133,1.2700027227401733,2.31596040725708,0.25049999356269836,nan
0.1640625,1392,0.036794766783714294,0.371848464012146,10.455574989318848,1.0606359243392944,2.566709041595459,0.2568017840385437,nan
0.1796875,1592,0.06851476430892944,0.37825292348861694,5.461236953735352,0.9443125128746033,2.468128204345703,0.3214440643787384,nan
0.1953125,2120,0.1405663788318634,0.3832513093948364,2.72647762298584,0.8553942441940308,2.2512331008911133,0.41017866134643555,nan
0.2109375,2208,0.35610419511795044,0.38883331418037415,1.0745643377304077,0.7721471786499023,2.5531890392303467,0.574464738368988,nan
0.2265625,2792,0.8857406377792358,0.40602996945381165,0.46469247341156006,0.700993537902832,2.7086644172668457,0.811212420463562,nan
0.2421875,2928,1.8153138160705566,0.42691048979759216,0.23629839718341827,0.660189688205719,1.2874963283538818,1.0476419925689697,nan
0.2578125,3416,2.3194899559020996,0.3964763283729553,0.16490283608436584,0.5723962187767029,-5.750260353088379,1.0806854963302612,5.779415130615234
0.2734375,3792,1.9515893459320068,0.1763782948255539,0.08941367268562317,0.33480194211006165,-17.23468017578125,0.8624114394187927,5.651853561401367
0.2890625,4304,1.0765694379806519,0.015817608684301376,0.01469260174781084,0.02722088247537613,-8.941839218139648,0.1739516258239746,5.665386199951172
0.3046875,4784,1.0011731386184692,0.010032151825726032,0.010020396672189236,0.0002463194541633129,-0.3601176142692566,0.001906039658933878,nan
0.3203125,5472,1.0000085830688477,0.010000167414546013,0.010000081732869148,1.5470673133677337e-06,-0.0032111038453876972,1.1983484000666067e-05,nan
0.3359375,5696,1.0,0.009999999776482582,0.009999999776482582,2.483318217727515e-09,-1.0701671271817759e-05,1.923570103201655e-08,nan
0.3515625,6384,1.0,0.009999999776482582,0.009999999776482582,9.031886024669922e-13,-1.696249718463605e-08,6.996068654951948e-12,nan
0.3671875,6752,1.0,0.009999999776482582,0.009999999776482582,6.872654868640758e-16,-3.4056238731872135e-12,5.323535581406918e-15,nan
0.3828125,7896,1.0,0.009999999776482582,0.009999999776482582,4.2577247950091784e-19,-2.2537259737479345e-15,3.298019560266287e-18,nan
0.3984375,8072,1.0,0.009999999776482582,0.009999999776482582,4.171134221881033e-22,-9.202510459695847e-19,3.230946873896169e-21,nan
0.4140625,8888,1.0,0.009999999776482582,0.009999999776482582,1.4983124832726313e-25,-5.744679487146454e-22,1.1605878423716438e-24,nan
0.4296875,9384,1.0,0.009999999776482582,0.009999999776482582,3.176780035772941e-28,-9.26316663904539e-25,2.46072332690265e-27,nan
0.4453125,10112,1.0,0.009999999776482582,0.009999999776482582,4.3274065985973684e-31,-6.171497580560582e-28,3.3519945518217635e-30,nan
0.4609375,10896,1.0,0.009999999776482582,0.009999999776482582,2.626824420372275e-34,-1.989337520263811e-31,2.0347292933955312e-33,nan
0.4765625,11696,1.0,0.009999999776482582,0.009999999776482582,3.9582399249069106e-37,-6.1777242353801435e-34,3.0660392462806654e-36,nan
0.4921875,12576,1.0,0.009999999776482582,0.009999999776482582,0.0,0.0,0.0,nan
