resolution,grid_spacing,num_injection_cells,injection_radius,t_end,retained_snapshot_count,final_state_bytes,surface_cell_count,outside_injection_surface_cell_count,two_bands_detected,separation_radius,reverse_radius_median,reverse_radius_p16,reverse_radius_p84,reverse_normalized_radial_spread,reverse_surface_cell_count,reverse_valid_mach_fraction,reverse_median_radial_alignment,reverse_mach_median,reverse_mach_p16,reverse_mach_p84,reverse_mach_coefficient_of_variation,forward_radius_median,forward_radius_p16,forward_radius_p84,forward_normalized_radial_spread,forward_surface_cell_count,forward_valid_mach_fraction,forward_median_radial_alignment,forward_mach_median,forward_mach_p16,forward_mach_p84,forward_mach_coefficient_of_variation,reverse_profile_upstream_shell_radius,reverse_profile_downstream_shell_radius,reverse_profile_density_ratio,reverse_profile_pressure_ratio,reverse_profile_temperature_ratio,reverse_profile_velocity_ratio,reverse_profile_upstream_radial_velocity,reverse_profile_downstream_radial_velocity,reverse_profile_upstream_flow_mach,reverse_profile_downstream_flow_mach,reverse_profile_minimum_divergence,reverse_profile_jump_mach,forward_profile_upstream_shell_radius,forward_profile_downstream_shell_radius,forward_profile_density_ratio,forward_profile_pressure_ratio,forward_profile_temperature_ratio,forward_profile_velocity_ratio,forward_profile_upstream_radial_velocity,forward_profile_downstream_radial_velocity,forward_profile_upstream_flow_mach,forward_profile_downstream_flow_mach,forward_profile_minimum_divergence,forward_profile_jump_mach,reverse_distance_beyond_injection_cells,weaver_outer_radius,relative_error_vs_weaver,elapsed_seconds
64,0.015625,4,0.0625,0.2,0,5242880,5128,5128,True,0.18707776442170143,0.09979668259620667,0.09582147002220154,0.10390564054250717,0.0810064053232659,608,1.0,-0.9933636784553528,1.6836507320404053,1.5064833164215088,1.7532906532287598,0.07384464889764786,0.2760246843099594,0.2724164736270904,0.27927377820014954,0.02484308456036041,4520,1.0,0.9976462125778198,5.663557052612305,5.389235973358154,5.762425422668457,0.03200714290142059,0.0703125,0.1171875,1.4548386719744182,3.1063716588423618,2.1313171000602535,0.2694102292173579,7.814024448394775,2.105178117752075,1.939594030380249,0.3603319525718689,-75.56227111816406,1.6386266588438898,0.3046875,0.2421875,1.8131267524062769,42.5544179227848,23.582726626361012,2677.9550706221294,0.0002465302823111415,0.6601970195770264,0.0019076589960604906,1.0476253032684326,-17.23438262939453,5.851797530522382,2.3869876861572266,0.29167195352591885,-0.0536468077468716,52.478038819972426
128,0.0078125,8,0.0625,0.2,0,41943040,21880,21880,True,0.19868241250514984,0.10630185157060623,0.10449866950511932,0.10796684265136719,0.03262570778406703,2624,1.0,-0.9928244948387146,2.333465576171875,2.2340288162231445,2.428199052810669,0.04784847050905228,0.2899484634399414,0.28795385360717773,0.2926484942436218,0.016191293379337113,19256,1.0,0.9970106482505798,6.231907367706299,6.070501804351807,6.314259052276611,0.02372005209326744,0.08984375,0.12109375,2.1010448263695736,5.753867424082193,2.758587171912484,0.277880133189043,8.597522735595703,2.389080762863159,2.462909460067749,0.41103047132492065,-339.66522216796875,2.1915962080788867,0.30859375,0.27734375,2.9235832261374286,48.98748397858759,16.76913315262179,31413.151393830827,2.0069124730071053e-05,0.6304344534873962,0.0001554429909447208,1.1919116973876953,-32.06759262084961,6.2761442927063165,5.606637001037598,0.29167195352591885,-0.005909001757429129,153.6562518295832
256,0.00390625,16,0.0625,0.2,0,335544320,89712,89712,True,0.2012728825211525,0.10989907383918762,0.10905356705188751,0.11051993072032928,0.013342820983072734,11112,1.0,-0.9958646893501282,2.6590116024017334,2.5760912895202637,2.712959051132202,0.03499646857380867,0.29324954748153687,0.2921754717826843,0.29477912425994873,0.008878624023889871,78600,1.0,0.9974064826965332,6.437469959259033,6.255386829376221,6.555665969848633,0.02451997995376587,0.103515625,0.115234375,2.6414246544212583,8.867145373625833,3.3594276286538354,0.3293045383683855,8.989510536193848,2.9602866172790527,2.8885984420776367,0.518844723701477,-665.53466796875,2.7006881158143137,0.302734375,0.287109375,3.2351379239609144,52.08683734607718,16.02572279719217,30488.249206368855,2.0718956875498407e-05,0.6316847205162048,0.00016047584358602762,1.222109079360962,-65.32234191894531,6.47066224407222,12.134162902832031,0.29167195352591885,0.005408795520265295,365.1924251280725
512,0.001953125,32,0.0625,0.2,0,2684354560,364368,364368,True,0.20313380658626556,0.111953005194664,0.11153000593185425,0.11218396574258804,0.0058413779031361345,45888,1.0,-0.9967806935310364,2.8226912021636963,2.708793878555298,2.870290756225586,0.035427290946245193,0.29479654133319855,0.2942652404308319,0.29557159543037415,0.004431378311408707,318480,1.0,0.9977610111236572,6.566980361938477,6.366340160369873,6.693073749542236,0.025788888335227966,0.1083984375,0.1162109375,2.847549032090892,10.16010721319559,3.569594896743257,0.3258827734283634,9.072089195251465,2.956437587738037,3.004267692565918,0.5181376934051514,-1539.188232421875,2.885842298282509,0.2998046875,0.2900390625,3.4833231536220937,57.11289630512515,16.43574167806579,54492.022740941975,1.2074741789547261e-05,0.6579771041870117,9.352628694614395e-05,1.256881833076477,-136.13504028320312,6.774239222532676,25.31993865966797,0.29167195352591885,0.010712678300082216,2961.403363230638
