time,snapshot_index,shock_id,shock_kind,detected,track_status,radius_change,allowed_radius_change,continuity_ok,radius_median,radius_p16,radius_p84,normalized_radial_spread,surface_cell_count,valid_mach_fraction,mach_median,mach_p16,mach_p84,mach_coefficient_of_variation,median_radial_alignment,ordering_ok,resolved_from_injection,surface_cell_count_ok,radial_spread_ok,valid_mach_fraction_ok,normal_orientation_ok,confidence_score,confidence_label,weaver_outer_radius,relative_error_vs_weaver
0.10008937865495682,10,reverse_shock,reverse,False,not_yet_detected,nan,nan,False,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,True,False,False,False,False,False,0.0,not_detected,nan,nan
0.10008937865495682,10,forward_shock,forward,True,continued,0.010876007373577717,0.0625,True,0.18199908720735228,0.17971896427978565,0.18482487824763943,0.02805461305438636,1880,1.0,7.012195587158203,6.709249973297119,7.391143798828125,0.052480388432741165,0.9983423948287964,True,True,True,True,True,True,1.0,high,0.19253490230723214,-0.05472158540412392
0.11000563204288483,11,reverse_shock,reverse,False,not_yet_detected,nan,nan,False,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,True,False,False,False,False,False,0.0,not_detected,nan,nan
0.11000563204288483,11,forward_shock,forward,True,continued,0.010753218238744866,0.0636996805225733,True,0.19275230544609714,0.18977120742813572,0.1953247627652066,0.02881187503422069,2192,1.0,6.7724761962890625,6.508150577545166,7.122130870819092,0.05702032148838043,0.9978816509246826,True,True,True,True,True,True,1.0,high,0.20376314041870364,-0.05403742281347268
0.12009099125862122,12,reverse_shock,reverse,True,initialized,nan,nan,True,0.0820835203594037,0.08208351698316652,0.08208354485688121,3.3957747639762594e-07,48,1.0,1.3139984607696533,1.3139982223510742,1.3139986991882324,2.127632257042933e-07,-0.9735203981399536,True,False,True,True,True,True,0.8571428571428571,medium,nan,nan
0.12009099125862122,12,forward_shock,forward,True,continued,0.010603543859244613,0.067463306906134,True,0.20335584930534176,0.20030481021643337,0.20531209405337766,0.024623259444215857,2288,1.0,6.656842231750488,6.412498950958252,6.95255184173584,0.04192709922790527,0.9978757500648499,True,True,True,True,True,True,1.0,high,0.21477460589009395,-0.05316623228071704
0.13011208176612854,13,reverse_shock,reverse,True,continued,0.003577804961839376,0.0625,True,0.08566132532124307,0.08452248827668692,0.0856613399887589,0.013294817793223638,72,1.0,1.3422497510910034,1.3203566074371338,1.3422504663467407,0.007731129415333271,-0.9856730103492737,True,False,True,True,True,True,0.8571428571428571,medium,nan,nan
0.13011208176612854,13,forward_shock,forward,True,continued,0.009992651612074244,0.07117454725686961,True,0.213348500917416,0.21024290999850145,0.2156067489515542,0.02514120760158994,2648,1.0,6.481052875518799,6.203826427459717,6.698855400085449,0.03815633803606033,0.9979425072669983,True,True,True,True,True,True,1.0,high,0.225355025968368,-0.0532782661463131
0.14001378417015076,14,reverse_shock,reverse,True,continued,0.0025304222829758832,0.0625,True,0.08819174760421895,0.08615126107984963,0.09143892108258231,0.059956403477367096,216,1.0,1.3805255889892578,1.322923183441162,1.383270502090454,0.022013375535607338,-0.9917598962783813,True,False,True,True,True,True,0.8571428571428571,medium,nan,nan
0.14001378417015076,14,forward_shock,forward,True,continued,0.00946824178784536,0.0746719753210956,True,0.22281674270526136,0.21922974942718734,0.2255825206226229,0.028511193181918623,2936,1.0,6.329598426818848,6.068439483642578,6.567253112792969,0.037436846643686295,0.9979585409164429,True,True,True,True,True,True,1.0,high,0.23549362184841105,-0.053831093358910106
0.15012992918491364,15,reverse_shock,reverse,True,continued,0.00397143120684347,0.0625,True,0.09216317881106242,0.08865086127046137,0.09360475700393586,0.05375135490530486,336,1.0,1.4369474649429321,1.3617457151412964,1.4516816139221191,0.05540396273136139,-0.9959163665771484,True,False,True,True,True,True,0.8571428571428571,medium,nan,nan
0.15012992918491364,15,forward_shock,forward,True,continued,0.009328261510929331,0.07798585994684147,True,0.2321450042161907,0.22870635967358258,0.23477027511865367,0.026121240323672548,3176,1.0,6.249444484710693,5.909090518951416,6.407074928283691,0.038568660616874695,0.9976303577423096,True,True,True,True,True,True,1.0,high,0.24555966988190134,-0.05462894485956204
0.16008806228637695,16,reverse_shock,reverse,True,continued,0.0007548900199930708,0.0625,True,0.0929180688310555,0.08922035860549797,0.09474729846927432,0.05948186325122065,440,1.0,1.480576992034912,1.3672877550125122,1.6173169612884521,0.07300028949975967,-0.9977851510047913,True,False,True,True,True,True,0.8571428571428571,medium,nan,nan
0.16008806228637695,16,forward_shock,forward,True,continued,0.009291810905419084,0.08125075147566674,True,0.24143681512160978,0.2379706930530247,0.24437551204004673,0.02652793023216435,3320,1.0,6.111130714416504,5.801485538482666,6.231942176818848,0.040892113000154495,0.997798502445221,True,True,True,True,True,True,1.0,high,0.2552066823385509,-0.05395574712528249
0.17010019719600677,17,reverse_shock,reverse,True,continued,0.002180526681731243,0.0625,True,0.09509859551278674,0.09109151021017832,0.09719347724649255,0.06416463885098884,440,1.0,1.5361034870147705,1.3876006603240967,1.6056474447250366,0.06387180089950562,-0.9932472705841064,True,True,True,True,True,True,1.0,high,nan,nan
0.17010019719600677,17,forward_shock,forward,True,continued,0.00882108464893408,0.08450288529256342,True,0.25025789977054386,0.24714489684264995,0.2531785313526369,0.024109666530083815,3536,1.0,6.001921653747559,5.650107383728027,6.087082386016846,0.03395327925682068,0.9969922304153442,True,True,True,True,True,True,1.0,high,0.2646668589760203,-0.0544418717977152
0.18009118735790253,18,reverse_shock,reverse,True,continued,0.0003653639718921575,0.0625,True,0.0954639594846789,0.09316463328716458,0.09880830891636266,0.05911839043407625,560,1.0,1.5936139822006226,1.4332339763641357,1.6785029172897339,0.08059516549110413,-0.9919451475143433,True,True,True,True,True,True,1.0,high,nan,nan
0.18009118735790253,18,forward_shock,forward,True,continued,0.008605006713919339,0.08759026491969034,True,0.2588629064844632,0.25603284845650354,0.2620435686956513,0.023219704672166084,3704,1.0,5.848830223083496,5.521176338195801,5.983209133148193,0.04010747745633125,0.9969810843467712,True,True,True,True,True,True,1.0,high,0.2738874609066684,-0.054856671322113006
0.20000000298023224,19,reverse_shock,reverse,True,continued,0.0043329709392784105,0.0625,True,0.0997969304239573,0.09582165434699702,0.10390640077372956,0.0810119749413827,608,1.0,1.6836938858032227,1.5063318014144897,1.7534079551696777,0.07383639365434647,-0.9933621883392334,True,True,True,True,True,True,1.0,high,nan,nan
0.20000000298023224,19,forward_shock,forward,True,continued,0.017161376313004628,0.09060201726956212,True,0.2760242827974678,0.2724161102596831,0.2792727405971801,0.02484067803022983,4520,1.0,5.663512229919434,5.389164924621582,5.762363433837891,0.03200753778219223,0.9976465106010437,True,True,True,True,True,True,1.0,high,0.2916719561336693,-0.053648192797220336
