time,radius_median,radius_p16,radius_p84,radial_spread_p84_minus_p16,surface_cell_count,mach_median,weaver_outer_radius,resolved_for_weaver,relative_error_vs_weaver
0.0,nan,nan,nan,nan,0,nan,0.0,False,nan
0.010726960375905037,0.08081312477588654,0.07452650368213654,0.0837797299027443,0.009253226220607758,264,3.573223829269409,0.05041533749787379,False,nan
0.020468084141612053,0.08521227166056633,0.08081312477588654,0.08941815048456192,0.008605025708675385,288,8.68819522857666,0.07428873945050304,False,nan
0.03016335517168045,0.09210801869630814,0.08941815048456192,0.0972648411989212,0.007846690714359283,368,11.06797981262207,0.09374852895583456,False,nan
0.04034534469246864,0.10452412813901901,0.10216169059276581,0.10909562557935715,0.006933934986591339,456,9.92527961730957,0.11162275342509378,True,-0.06359478751649338
0.050005655735731125,0.11976335942745209,0.11561444401741028,0.12377327680587769,0.008158832788467407,600,9.608778953552246,0.12696620798796926,True,-0.056730437764981385
0.06024988740682602,0.13509075343608856,0.12955565750598907,0.13865812122821808,0.009102463722229004,744,8.653959274291992,0.1419875994729316,True,-0.0485735801044925
0.07020280510187149,0.14719878137111664,0.1438433825969696,0.15209314227104187,0.008249759674072266,888,8.109649658203125,0.15562857912385247,True,-0.05416612938441869
0.0801829919219017,0.1599178910255432,0.15527036786079407,0.1659121960401535,0.010641828179359436,1056,7.752409934997559,0.16854894070715526,True,-0.05120797345506924
0.09018107503652573,0.17026948928833008,0.16714282751083376,0.17451803386211395,0.007375206351280195,1200,7.407018661499023,0.1808614123442818,True,-0.058563752868352505
0.10008937865495682,0.18137791752815247,0.17866557836532593,0.18668442964553833,0.008018851280212402,1376,7.128262042999268,0.19253490230723214,True,-0.05794785592316258
0.11000563204288483,0.19311261177062988,0.18798764050006866,0.19810503721237183,0.010117396712303162,1536,6.9123711585998535,0.20376314041870364,True,-0.052269162254706444
0.12009099125862122,0.20297470688819885,0.19810503721237183,0.20655162632465363,0.0084465891122818,1856,6.672887325286865,0.21477460589009395,True,-0.05494084811839175
0.13011208176612854,0.2123793363571167,0.20655162632465363,0.21805134415626526,0.011499717831611633,2136,6.455098628997803,0.225355025968368,True,-0.05757887828546875
0.14001378417015076,0.22248485684394836,0.21692880988121033,0.2279054969549179,0.01097668707370758,2352,6.2871623039245605,0.23549362184841105,True,-0.05524041331716628
0.15012992918491364,0.23109686374664307,0.22575286030769348,0.235284686088562,0.00953182578086853,2600,6.111059188842773,0.24555966988190134,True,-0.05889731869330972
0.16008806228637695,0.24041691422462463,0.23424474895000458,0.24544183909893036,0.011197090148925781,2808,5.999076843261719,0.2552066823385509,True,-0.05795211935049001
0.17010019719600677,0.2493889033794403,0.2434443235397339,0.25614994764328003,0.012705624103546143,2952,5.839208602905273,0.2646668589760203,True,-0.057725231091227215
0.18009118735790253,0.2580491304397583,0.2542365491390228,0.2636646330356598,0.009428083896636963,3152,5.73154354095459,0.2738874609066684,True,-0.05782787724008748
0.20000000298023224,0.276324063539505,0.26916301250457764,0.2807069420814514,0.01154392957687378,3584,5.508921146392822,0.2916719561336693,True,-0.05262039174973192
