time,two_bands_detected,separation_radius,reverse_radius_median,reverse_radius_p16,reverse_radius_p84,reverse_surface_cell_count,reverse_mach_median,forward_radius_median,forward_radius_p16,forward_radius_p84,forward_surface_cell_count,forward_mach_median,weaver_outer_radius,resolved_for_weaver,relative_error_vs_weaver
0.0,False,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0.0,False,nan
0.010726960375905037,False,nan,nan,nan,nan,0,nan,0.08081312838116095,0.07430850545212073,0.0894181495489031,344,4.864075183868408,0.05041533749787379,False,nan
0.020468084141612053,False,nan,nan,nan,nan,0,nan,0.08306081623921961,0.08100990568967986,0.0894181495489031,392,8.175800323486328,0.07428873945050304,False,nan
0.03016335517168045,False,nan,nan,nan,nan,0,nan,0.09157101822854237,0.09126859729959547,0.09436557514194785,488,9.667706489562988,0.09374852895583456,False,nan
0.04034534469246864,False,nan,nan,nan,nan,0,nan,0.10619640906407139,0.10356537066433535,0.1094471687582253,632,9.604578018188477,0.11162275342509378,True,-0.04861324590656892
0.050005655735731125,False,nan,nan,nan,nan,0,nan,0.12083992299394168,0.11654952483467132,0.12287989533036311,872,9.124515533447266,0.12696620798796926,True,-0.048251303170431595
0.06024988740682602,False,nan,nan,nan,nan,0,nan,0.13490062612702097,0.13259582115821428,0.13733691962404684,1112,8.40088939666748,0.1419875994729316,True,-0.04991262175160363
0.07020280510187149,False,nan,nan,nan,nan,0,nan,0.14746061452801001,0.14472537022359075,0.15008129547140545,1376,7.951256275177002,0.15562857912385247,True,-0.052483706025113944
0.0801829919219017,False,nan,nan,nan,nan,0,nan,0.15957986857397582,0.1566223357677267,0.16208681446856008,1616,7.644557476043701,0.16854894070715526,True,-0.05321345892504134
0.09018107503652573,False,nan,nan,nan,nan,0,nan,0.17112307983377456,0.16838701975349651,0.17327337191951347,1808,7.24943208694458,0.1808614123442818,True,-0.05384416932435355
0.10008937865495682,False,nan,nan,nan,nan,0,nan,0.18199908720735228,0.17971896427978565,0.18482487824763943,1880,7.012195587158203,0.19253490230723214,True,-0.05472158540412392
0.11000563204288483,False,nan,nan,nan,nan,0,nan,0.19275230544609714,0.18977120742813572,0.1953247627652066,2192,6.7724761962890625,0.20376314041870364,True,-0.05403742281347268
0.12009099125862122,True,0.13967393200097322,0.0820835203594037,0.08208351698316652,0.08208354485688121,48,1.3139984607696533,0.20335584930534176,0.20030481021643337,0.20531209405337766,2288,6.656842231750488,0.21477460589009395,True,-0.05316623228071704
0.13011208176612854,True,0.1463853612788984,0.08566132532124307,0.08452248827668692,0.0856613399887589,72,1.3422497510910034,0.213348500917416,0.21024290999850145,0.2156067489515542,2648,6.481052875518799,0.225355025968368,True,-0.0532782661463131
0.14001378417015076,True,0.1541096699604437,0.08819174760421895,0.08615126107984963,0.09143892108258231,216,1.3805255889892578,0.22281674270526136,0.21922974942718734,0.2255825206226229,2936,6.329598426818848,0.23549362184841105,True,-0.053831093358910106
0.15012992918491364,True,0.16026024372203065,0.09216317881106242,0.08865086127046137,0.09360475700393586,336,1.4369474649429321,0.2321450042161907,0.22870635967358258,0.23477027511865367,3176,6.249444484710693,0.24555966988190134,True,-0.05462894485956204
0.16008806228637695,True,0.16687528450044015,0.0929180688310555,0.08922035860549797,0.09474729846927432,440,1.480576992034912,0.24143681512160978,0.2379706930530247,0.24437551204004673,3320,6.111130714416504,0.2552066823385509,True,-0.05395574712528249
0.17010019719600677,True,0.17134358525215349,0.09509859551278674,0.09109151021017832,0.09719347724649255,440,1.5361034870147705,0.25025789977054386,0.24714489684264995,0.2531785313526369,3536,6.001921653747559,0.2646668589760203,True,-0.0544418717977152
0.18009118735790253,True,0.17672921915739678,0.0954639594846789,0.09316463328716458,0.09880830891636266,560,1.5936139822006226,0.2588629064844632,0.25603284845650354,0.2620435686956513,3704,5.848830223083496,0.2738874609066684,True,-0.054856671322113006
0.20000000298023224,True,0.18707787427260225,0.0997969304239573,0.09582165434699702,0.10390640077372956,608,1.6836938858032227,0.2760242827974678,0.2724161102596831,0.2792727405971801,4520,5.663512229919434,0.2916719561336693,True,-0.053648192797220336
