resolution,grid_spacing,injection_cells,deposited_energy,surface_cell_count,radius_median,radius_p16,radius_p84,normalized_radial_spread,analytic_radius,relative_radius_error,median_radial_alignment,elapsed_seconds
32,0.03125,8,1.0,1328,0.36275583505630493,0.3518228232860565,0.38622522354125977,0.09483624226158484,0.3474689930754484,0.043994837771142416,0.9811673916160891,7.845179666997865
64,0.015625,136,1.0,5328,0.35792848467826843,0.35242947936058044,0.3673536777496338,0.04169603434179952,0.3474689930754484,0.030101942363959123,0.9921334298858978,66.49387066700729
128,0.0078125,1088,1.0,21144,0.353963166475296,0.3510195314884186,0.357395201921463,0.018012242619852955,0.3474689930754484,0.01868993645265355,0.9952426139008357,1010.9254671250237
