time,two_bands_detected,radial_ordering_ok,separation_radius,reverse_track_id,reverse_detected,reverse_track_status,reverse_continuity_ok,reverse_radius_change,reverse_elapsed_time,reverse_radial_velocity,reverse_predicted_radius,reverse_prediction_residual,reverse_allowed_radius_change,reverse_radius_median,reverse_radius_p16,reverse_radius_p84,reverse_normalized_radial_spread,reverse_surface_cell_count,reverse_valid_mach_fraction,reverse_mach_median,reverse_mach_p16,reverse_mach_p84,reverse_mach_coefficient_of_variation,reverse_median_radial_alignment,reverse_confidence_score,reverse_confidence_label,forward_track_id,forward_detected,forward_track_status,forward_continuity_ok,forward_radius_change,forward_elapsed_time,forward_radial_velocity,forward_predicted_radius,forward_prediction_residual,forward_allowed_radius_change,forward_radius_median,forward_radius_p16,forward_radius_p84,forward_normalized_radial_spread,forward_surface_cell_count,forward_valid_mach_fraction,forward_mach_median,forward_mach_p16,forward_mach_p84,forward_mach_coefficient_of_variation,forward_median_radial_alignment,forward_confidence_score,forward_confidence_label,weaver_outer_radius,weaver_forward_mach,resolved_for_weaver,relative_error_vs_weaver
0.0,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,0.0,nan,False,nan
0.010726960375905037,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,initialized,True,nan,nan,nan,nan,nan,nan,0.08081312838116095,0.07430850545212073,0.0894181495489031,0.18697016684611753,344,1.0,4.864075183868408,3.528738021850586,6.2824931144714355,0.2802639603614807,0.970218300819397,0.8571428571428571,medium,0.05041533749787379,21.843029788152926,False,nan
0.020468082278966904,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.002247687858058664,0.009741121903061867,0.23074219586063924,nan,nan,nan,0.08306081623921961,0.08100992009276213,0.0894181495489031,0.10122979567073868,392,1.0,8.175793647766113,7.357048988342285,9.38466739654541,0.1471627801656723,0.9927250146865845,0.8571428571428571,medium,0.07428873539423002,16.868353238250783,False,nan
0.030163347721099854,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.008510201989322758,0.00969526544213295,0.8777688491477259,0.08529792307678914,0.006273095151753227,0.021377592895397014,0.09157101822854237,0.0912686188072948,0.09436557514194785,0.03382026753184822,488,1.0,9.667709350585938,8.387223243713379,9.864418983459473,0.11460918188095093,0.9985468983650208,0.8571428571428571,medium,0.09374851506186949,14.444806627838979,False,nan
0.040345337241888046,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.014625413881044089,0.010181989520788193,1.4364004059505189,0.10050845145223883,0.00568798065734763,0.020114394391069074,0.10619643210958646,0.1035653907168073,0.1094472231642924,0.05538634708005539,632,1.0,9.604588508605957,8.651297569274902,9.982762336730957,0.06329260766506195,0.9984127283096313,1.0,high,0.11162274105705938,12.858378590222918,True,-0.04861293403195591
0.05000564828515053,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.014643538667026473,0.009660311043262482,1.5158454630960885,0.12007250681373696,0.0007674639628759694,0.021731095101430724,0.12083997077661293,0.11654957518522024,0.1228799329405966,0.052386290022187885,872,1.0,9.124515533447266,8.035110473632812,9.550724029541016,0.06400278955698013,0.9986710548400879,1.0,high,0.1269661966375892,11.800378124597664,True,-0.04825084174540489
0.06024987995624542,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.014060701881874499,0.010244231671094894,1.3725482137960772,0.1363686428781474,-0.0014679702196599698,0.021160775126255832,0.13490067265848743,0.13259582115821428,0.1373370136553496,0.03514580323211615,1112,1.0,8.400888442993164,7.470658779144287,8.910289764404297,0.0856037586927414,0.9987291693687439,1.0,high,0.14198758893790697,10.952697022281546,True,-0.049912223543134765
0.0702027976512909,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.012559941869522584,0.009952917695045471,1.2619356709615794,0.14856153206288147,-0.0011009175348714595,0.02067352448573956,0.14746061452801001,0.14472556587001045,0.15008142234435426,0.03632058968075483,1376,1.0,7.951265335083008,7.125299453735352,8.471440315246582,0.06933112442493439,0.9982776641845703,1.0,high,0.15562856921379295,10.302954473462213,True,-0.05248364568951541
0.0801829919219017,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.01211925404596581,0.00998019427061081,1.2143304746736243,0.16005497768122018,-0.0004751091072443536,0.021035036198656917,0.15957986857397582,0.15662280669097062,0.16208702261394065,0.034241260954773894,1616,1.0,7.644547939300537,7.308027744293213,8.085955619812012,0.05875665694475174,0.998746931552887,1.0,high,0.16854894070715526,9.769461947973141,True,-0.05321345892504134
0.09018108248710632,False,True,nan,reverse_shock,False,not_yet_detected,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,not_detected,forward_shock,True,continued,True,0.011543344156200147,0.00999809056520462,1.1545548703442758,0.17172085463585063,-0.0005976419056746562,0.020800191099728013,0.17112321273017597,0.16838740281327522,0.17327356908976121,0.02855349778986687,1808,1.0,7.249451637268066,6.9332146644592285,7.698051452636719,0.062355268746614456,0.9976975321769714,1.0,high,0.18086142130972718,9.320889748301175,True,-0.05384348142921215
