time,snapshot_index,reverse_surface_sample_count,reverse_unique_surface_patch_count,reverse_valid_flux_sample_count,reverse_valid_flux_fraction,reverse_surface_area,reverse_flux_covered_surface_area,reverse_surface_area_vs_sphere,reverse_mean_thermal_energy_flux,reverse_dissipation_rate,forward_surface_sample_count,forward_unique_surface_patch_count,forward_valid_flux_sample_count,forward_valid_flux_fraction,forward_surface_area,forward_flux_covered_surface_area,forward_surface_area_vs_sphere,forward_mean_thermal_energy_flux,forward_dissipation_rate,reverse_integration_interval_valid,reverse_cumulative_dissipated_energy,forward_integration_interval_valid,forward_cumulative_dissipated_energy,combined_cumulative_dissipated_energy,injected_wind_energy,combined_dissipation_to_injected_energy
0.0,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,False,nan,False,nan,nan,0.0,nan
0.010726960375905037,1,0,0,0,nan,nan,nan,nan,nan,nan,344,320,320,1.0,0.08957450270525055,0.08957450270525055,1.0914672357137878,0.08354748233152612,0.007483724182122159,False,nan,False,0.0,0.0,0.0053634801879525185,0.0
0.020468082278966904,2,0,0,0,nan,nan,nan,nan,nan,nan,392,344,344,1.0,0.09791081217037306,0.09791081217037306,1.129349593340691,0.3581818971330991,0.03506988045302675,False,nan,True,0.00020725992508284204,0.00020725992508284204,0.010234041139483452,0.020252012109197283
0.030163347721099854,3,0,0,0,nan,nan,nan,nan,nan,nan,488,440,440,1.0,0.13246648590440332,0.13246648590440332,1.2571296358187984,0.47718715281999075,0.06321130525279166,False,nan,True,0.000683691016775578,0.000683691016775578,0.015081673860549927,0.045332568725275996
0.040345337241888046,4,0,0,0,nan,nan,nan,nan,nan,nan,632,560,560,1.0,0.1725658061249914,0.1725658061249914,1.2176571650046004,0.49389702760569254,0.08522973871151346,False,nan,True,0.001439403593825285,0.001439403593825285,0.020172668620944023,0.07135414856965638
0.05000564828515053,5,0,0,0,nan,nan,nan,nan,nan,nan,872,672,672,1.0,0.20580177647849812,0.20580177647849812,1.1215484308855648,0.4130333959080445,0.0850030066228224,False,nan,True,0.0022616542286643723,0.0022616542286643723,0.025002824142575264,0.09045595072650958
0.06024987995624542,6,0,0,0,nan,nan,nan,nan,nan,nan,1112,872,872,1.0,0.26891792715664475,0.26891792715664475,1.1759305157139508,0.32233362800320686,0.0866812910955034,False,nan,True,0.0031410410887222516,0.0031410410887222516,0.03012493997812271,0.10426713185165958
0.0702027976512909,7,0,0,0,nan,nan,nan,nan,nan,nan,1376,1008,1008,1.0,0.3087842535209767,0.3087842535209767,1.1300384022403565,0.27437355999142526,0.08472223490784517,False,nan,True,0.003994023682198209,0.003994023682198209,0.03510139882564545,0.11378531385706867
0.0801829919219017,8,0,0,0,nan,nan,nan,nan,nan,nan,1616,1128,1128,1.0,0.3454663062744813,0.3454663062744813,1.0795422063010112,0.24404775336126122,0.08431027590830055,False,nan,True,0.004837512330195338,0.004837512330195338,0.04009149596095085,0.12066180655635994
0.09018108248710632,9,0,0,0,nan,nan,nan,nan,nan,nan,1808,1320,1320,1.0,0.4066866621401195,0.4066866621401195,1.1051779585047803,0.21005941847228754,0.08542836374958918,False,nan,True,0.005686043476052445,0.005686043476052445,0.04509054124355316,0.12610279937292634
0.10008938610553741,10,0,0,0,nan,nan,nan,nan,nan,nan,1880,1464,1464,1.0,0.45226370343266825,0.45226370343266825,1.0865317307452036,0.18951112687239513,0.08570900408100768,False,nan,True,0.006533883976514783,0.006533883976514783,0.05004469305276871,0.13056097615835607
0.11000563949346542,11,0,0,0,nan,nan,nan,nan,nan,nan,2192,1640,1640,1.0,0.5071833967574646,0.5071833967574646,1.0863156031084062,0.17167934897805623,0.08707291536780072,False,nan,True,0.007390558623568258,0.007390558623568258,0.05500281974673271,0.13436690441688262
0.12009100615978241,12,48,48,48,1.0,0.014123079002306367,0.014123079002306367,0.16680491242725934,0.04566357424484171,0.0006449102665875817,2288,1776,1776,1.0,0.5495447246347732,0.5495447246347732,1.057493172421771,0.15954262968817137,0.08767581049949373,False,0.0,True,0.008271761110989945,0.008271761110989945,0.060045503079891205,0.1377582114681307
0.13011209666728973,13,72,72,72,1.0,0.02303065961018725,0.02303065961018725,0.2497626286881456,0.05025818663563422,0.0011574791890305537,2648,1968,1968,1.0,0.6097420057759428,0.6097420057759428,1.065991247152625,0.14446055742604877,0.08808367004046976,True,9.030953932263095e-06,True,0.00915241194201167,0.009161442895943932,0.06505604833364487,0.14082384544721774
0.14001379907131195,14,216,216,216,1.0,0.06542205982655067,0.06542205982655067,0.6693589237144983,0.05712021026175269,0.0037369218130495377,2936,2144,2144,1.0,0.6631317661958259,0.6631317661958259,1.0628934099543401,0.13468576181488723,0.0893144071137365,True,3.3262405016535685e-05,True,0.01003068342552503,0.010063945830541566,0.07000689953565598,0.14375648539349736
0.1501300036907196,15,336,336,336,1.0,0.10350772951091684,0.10350772951091684,0.9697271366248447,0.08162542342531875,0.008448862249121948,3176,2352,2352,1.0,0.7299804629285453,0.7299804629285453,1.07790021314018,0.1252573696943303,0.09143543271467917,True,9.489934752695737e-05,True,0.010944934607839737,0.011039833955366694,0.0750650018453598,0.14707032150761387
0.1600881665945053,16,440,344,344,1.0,0.1071399589765897,0.1071399589765897,0.9875158804713406,0.09898060663460688,0.010604778134309744,3320,2544,2544,1.0,0.7911315680971716,0.7911315680971716,1.0800162111291327,0.11758127981914646,0.09302226228219365,True,0.00018976897495113875,True,0.011863364495657575,0.012053133470608714,0.08004408329725266,0.1505811919395473
0.17010030150413513,17,440,368,368,1.0,0.11751807877135914,0.11751807877135914,1.0340643915345031,0.10936619024815886,0.012852504560506583,3536,2696,2696,1.0,0.8365120976567285,0.8365120976567285,1.062882626293075,0.10905254863969412,0.09122377621740294,True,0.00030719771442805176,True,0.012785712592668981,0.013092910307097033,0.08505015075206757,0.15394341093250496
0.18009129166603088,18,560,416,416,1.0,0.1371812176544256,0.1371812176544256,1.1978736846799825,0.11767708671430775,0.016143086045494165,3704,2880,2880,1.0,0.8943880245356328,0.8943880245356328,1.0621170977814316,0.10074169521371261,0.09010216577056324,True,0.0004520450446695069,True,0.013691525443918107,0.014143570488587614,0.09004564583301544,0.15707112051609987
0.20000000298023224,19,608,432,432,1.0,0.14121539176815573,0.14121539176815573,1.1283374508029804,0.1409658580500476,0.0199065488704717,4520,3296,3296,1.0,1.0245627322612227,1.0245627322612227,1.0701204219846951,0.09210968294666523,0.09437214842755028,True,0.0008108959319316658,True,0.015527848377045865,0.01633874430897753,0.10000000149011612,0.1633874406551127
