radius,shell_cell_count,density,pressure,temperature_proxy,radial_velocity,velocity_divergence,radial_flow_mach,surface_mach
0.0078125,8,0.046550679951906204,0.9374815821647644,20.138944625854492,0.8422468900680542,206.34158325195312,0.14537733793258667,nan
0.0234375,24,0.04417547211050987,0.8785921931266785,19.888689041137695,1.8043804168701172,229.90200805664062,0.3134011924266815,nan
0.0390625,104,0.038407936692237854,0.7461673021316528,19.350072860717773,3.3149473667144775,304.33404541015625,0.5825653672218323,nan
0.0546875,144,0.020352192223072052,0.2798304855823517,13.746623992919922,6.224789619445801,343.9852294921875,1.3006367683410645,nan
0.0703125,272,0.011712701991200447,0.11103656888008118,9.480012893676758,7.813929557800293,224.1729736328125,1.9396052360534668,nan
0.0859375,360,0.00927761197090149,0.09527682512998581,10.269543647766113,7.655582904815674,-31.632858276367188,1.8504537343978882,1.5363197326660156
0.1015625,560,0.015180138871073723,0.29870039224624634,19.67705535888672,3.0866498947143555,-75.56263732910156,0.5385340452194214,1.7287694215774536
0.1171875,704,0.017040971666574478,0.3449666500091553,20.206546783447266,2.1051788330078125,-7.927705764770508,0.36033210158348083,nan
0.1328125,936,0.019919928163290024,0.3635391294956207,18.425121307373047,1.48727285861969,1.161529541015625,0.2726881802082062,nan
0.1484375,1112,0.025130344554781914,0.36710143089294434,15.042488098144531,1.2699928283691406,2.3162841796875,0.2504967153072357,nan
0.1640625,1392,0.03679521009325981,0.371856153011322,10.455648422241211,1.060626745223999,2.566873073577881,0.2567964792251587,nan
0.1796875,1592,0.06851381063461304,0.3782605528831482,5.461263656616211,0.9443098902702332,2.4683570861816406,0.32143640518188477,nan
0.1953125,2120,0.14056396484375,0.38325875997543335,2.726576805114746,0.8553940653800964,2.2514615058898926,0.4101716876029968,nan
0.2109375,2208,0.3560875654220581,0.3888406753540039,1.0746357440948486,0.7721519470214844,2.5533623695373535,0.5744516849517822,nan
0.2265625,2792,0.885705828666687,0.4060351252555847,0.46471652388572693,0.7009976506233215,2.7088558673858643,0.8111910223960876,nan
0.2421875,2928,1.815253496170044,0.4269171357154846,0.23631048202514648,0.66019606590271,1.2878587245941162,1.047623872756958,nan
0.2578125,3416,2.31950306892395,0.39648884534835815,0.1649094671010971,0.572408139705658,-5.749233245849609,1.0806810855865479,5.779426574707031
0.2734375,3792,1.9516710042953491,0.1764020174741745,0.08942386507987976,0.3348362147808075,-17.234304428100586,0.8624433875083923,5.651880264282227
0.2890625,4304,1.076587200164795,0.015819791704416275,0.014694390818476677,0.02722880244255066,-8.943092346191406,0.17399165034294128,5.665398597717285
0.3046875,4784,1.0011731386184692,0.01003230456262827,0.010020549409091473,0.0002465627039782703,-0.36023855209350586,0.0019079071935266256,nan
0.3203125,5472,1.000008463859558,0.010000227950513363,0.010000140406191349,1.6095086721179541e-06,-0.0032171960920095444,1.2467111446312629e-05,nan
0.3359375,5696,1.0,0.009999999776482582,0.009999999776482582,5.59270629807429e-09,-1.1730291589628905e-05,4.3320916631728323e-08,nan
0.3515625,6384,1.0,0.009999999776482582,0.009999999776482582,3.287320936296023e-12,-3.976171925046401e-08,2.5463478547926854e-11,nan
0.3671875,6752,1.0,0.009999999776482582,0.009999999776482582,1.631045160925223e-15,-9.148393848024128e-12,1.2634021568725187e-14,nan
0.3828125,7896,1.0,0.009999999776482582,0.009999999776482582,9.268937198786918e-19,-5.591938723051651e-15,7.17968783458264e-18,nan
0.3984375,8072,1.0,0.009999999776482582,0.009999999776482582,8.736411624785326e-22,-1.8809810023950644e-18,6.767195287451863e-21,nan
0.4140625,8888,1.0,0.009999999776482582,0.009999999776482582,2.6406411292649e-25,-1.4190875117134978e-21,2.045431919121225e-24,nan
0.4296875,9384,1.0,0.009999999776482582,0.009999999776482582,5.739088752411732e-28,-1.7831774777632153e-24,4.4454792606972386e-27,nan
0.4453125,10112,1.0,0.009999999776482582,0.009999999776482582,6.887569347795626e-31,-1.0801150536648158e-27,5.335088504370843e-30,nan
0.4609375,10896,1.0,0.009999999776482582,0.009999999776482582,4.393995128308826e-34,-3.6589017857903827e-31,3.4035740978288534e-33,nan
0.4765625,11696,1.0,0.009999999776482582,0.009999999776482582,7.207825503992172e-37,-1.105458030058311e-33,5.583157643010233e-36,nan
0.4921875,12576,1.0,0.009999999776482582,0.009999999776482582,4.747739326978913e-40,-4.1630680577489005e-37,3.6775831040571575e-39,nan
