radius,shell_cell_count,density,pressure,temperature_proxy,radial_velocity,velocity_divergence,radial_flow_mach,surface_mach
0.0078125,8,0.04654807969927788,0.9373433589935303,20.137100219726562,0.8422444462776184,206.339599609375,0.1453835666179657,nan
0.0234375,24,0.04417261481285095,0.878441333770752,19.886560440063477,1.8043622970581055,229.90155029296875,0.3134148120880127,nan
0.0390625,104,0.038403693586587906,0.745967447757721,19.3471622467041,3.314962148666382,304.3538818359375,0.5826137661933899,nan
0.0546875,144,0.020356789231300354,0.2799486517906189,13.749308586120605,6.225237846374512,343.9940490722656,1.3006036281585693,nan
0.0703125,272,0.011713315732777119,0.1110512837767601,9.480772018432617,7.814024448394775,224.15765380859375,1.939594030380249,nan
0.0859375,360,0.009277616627514362,0.09527502208948135,10.269341468811035,7.655558109283447,-31.637039184570312,1.850466012954712,1.536261796951294
0.1015625,560,0.015180133283138275,0.29870033264160156,19.677059173583984,3.0866618156433105,-75.56227111816406,0.5385357141494751,1.7287380695343018
0.1171875,704,0.017040984705090523,0.3449665606021881,20.206531524658203,2.105178117752075,-7.927661895751953,0.3603319525718689,nan
0.1328125,936,0.019919946789741516,0.3635392189025879,18.425119400024414,1.4872723817825317,1.1616010665893555,0.2726881504058838,nan
0.1484375,1112,0.025130275636911392,0.3671014904975891,15.042465209960938,1.269991397857666,2.31630802154541,0.2504967749118805,nan
0.1640625,1392,0.036795102059841156,0.3718564510345459,10.455678939819336,1.0606268644332886,2.5668163299560547,0.25679731369018555,nan
0.1796875,1592,0.06851454824209213,0.3782607614994049,5.4613237380981445,0.944307804107666,2.46832275390625,0.3214380145072937,nan
0.1953125,2120,0.14056473970413208,0.3832591474056244,2.7265639305114746,0.85539311170578,2.2514419555664062,0.4101712107658386,nan
0.2109375,2208,0.35609424114227295,0.3888409733772278,1.07461678981781,0.7721505165100098,2.5533645153045654,0.5744528770446777,nan
0.2265625,2792,0.8857043981552124,0.40603649616241455,0.4647181034088135,0.7009971141815186,2.7088379859924316,0.8111938834190369,nan
0.2421875,2928,1.8152544498443604,0.4269177317619324,0.2363111525774002,0.6601970195770264,1.2878193855285645,1.0476253032684326,nan
0.2578125,3416,2.3194994926452637,0.396489679813385,0.16491003334522247,0.5724096298217773,-5.749314785003662,1.0806809663772583,5.779435157775879
0.2734375,3792,1.951665997505188,0.17640158534049988,0.08942289650440216,0.33483245968818665,-17.23438262939453,0.8624419569969177,5.651885032653809
0.2890625,4304,1.0765862464904785,0.015819648280739784,0.014694267883896828,0.02722819522023201,-8.943034172058105,0.173988476395607,5.665402889251709
0.3046875,4784,1.001173496246338,0.010032277554273605,0.01002051867544651,0.0002465302823111415,-0.36023610830307007,0.0019076589960604906,nan
0.3203125,5472,1.0000085830688477,0.010000227019190788,0.0100001385435462,1.6102824247354874e-06,-0.0032169357873499393,1.2473106835386716e-05,nan
0.3359375,5696,1.0,0.009999999776482582,0.009999999776482582,5.6232778433695785e-09,-1.1748286851798184e-05,4.355772276198877e-08,nan
0.3515625,6384,1.0,0.009999999776482582,0.009999999776482582,3.2998751300916673e-12,-3.9669505014217066e-08,2.5560723676543162e-11,nan
0.3671875,6752,1.0,0.009999999776482582,0.009999999776482582,1.635555293731997e-15,-9.089046355825747e-12,1.2668956595601744e-14,nan
0.3828125,7896,1.0,0.009999999776482582,0.009999999776482582,9.286782586526984e-19,-5.614841223395986e-15,7.193510849799013e-18,nan
0.3984375,8072,1.0,0.009999999776482582,0.009999999776482582,8.683279002919433e-22,-1.818762337875204e-18,6.7260390130095155e-21,nan
0.4140625,8888,1.0,0.009999999776482582,0.009999999776482582,2.6348888541516415e-25,-1.4251510121753886e-21,2.0409762355133104e-24,nan
0.4296875,9384,1.0,0.009999999776482582,0.009999999776482582,5.735122299691267e-28,-1.7729445713159146e-24,4.442406632063963e-27,nan
0.4453125,10112,1.0,0.009999999776482582,0.009999999776482582,6.878395789881809e-31,-1.079436452248911e-27,5.3279828761189924e-30,nan
0.4609375,10896,1.0,0.009999999776482582,0.009999999776482582,4.389448352894044e-34,-3.679262993638716e-31,3.400052022880202e-33,nan
0.4765625,11696,1.0,0.009999999776482582,0.009999999776482582,7.198711907195712e-37,-1.0822908731135269e-33,5.576098506707901e-36,nan
0.4921875,12576,1.0,0.009999999776482582,0.009999999776482582,4.7419099253673215e-40,-4.156528365971712e-37,3.673072324300496e-39,nan
