time,radius_median,radius_p16,radius_p84,radial_spread_p84_minus_p16,surface_cell_count,mach_median,weaver_outer_radius,resolved_for_weaver,relative_error_vs_weaver
0.0,nan,nan,nan,nan,0,nan,0.0,False,nan
0.00530230300500989,0.07411587983369827,0.06720566749572754,0.08043461292982101,0.013228945434093475,36,1.4129101037979126,0.03303356141468623,False,nan
0.010111688636243343,0.08043461292982101,0.07411587983369827,0.0890762060880661,0.014960326254367828,36,6.716100692749023,0.048659863453780094,False,nan
0.01523897610604763,0.0890762060880661,0.08043461292982101,0.09439879655838013,0.013964183628559113,44,11.167777061462402,0.06223721433165461,False,nan
0.020049581304192543,0.09173750132322311,0.08254322886466979,0.10186253488063812,0.019319306015968332,72,12.259057998657227,0.07337360503660346,False,nan
0.025230688974261284,0.10186253488063812,0.0890762060880661,0.10881553590297699,0.01973932981491089,76,13.820653915405273,0.08422366560778456,False,nan
0.030266597867012024,0.10423175245523453,0.0890762060880661,0.117447629570961,0.028371423482894897,92,12.806621551513672,0.09394092603354472,True,0.10954572044579516
0.03521505743265152,0.1131933331489563,0.10186253488063812,0.12352646887302399,0.021663933992385864,104,11.834784507751465,0.10287591563684274,True,0.1002899215841205
0.04007244110107422,0.1184779480099678,0.10195730358362198,0.1330420821905136,0.031084778606891628,120,11.400219917297363,0.11116911608529434,True,0.0657451654024646
0.05000000074505806,0.1330420821905136,0.117447629570961,0.14864295721054077,0.031195327639579773,132,9.790822982788086,0.12695759285492408,True,0.047925367823745235
